NoteOctave,Note,Instrument,Position
G4,G,Trumpet,0
G4,G,Trumpet,1
B4,B,Trumpet,2
B4,B,Trumpet,3
C5,C,Trumpet,4
A4,A,Trumpet,5
B4,B,Trumpet,6
B4,B,Trumpet,7
E5,E,Trumpet,8
D5,D,Trumpet,9
C5,C,Trumpet,10
B4,B,Trumpet,11
D5,D,Trumpet,12
B4,B,Trumpet,13
A4,A,Trumpet,14
A4,A,Trumpet,15
A4,A,Trumpet,16
D5,D,Trumpet,17
D5,D,Trumpet,18
C#5,C#,Trumpet,19
B4,B,Trumpet,20
A4,A,Trumpet,21
A4,A,Trumpet,22
B4,B,Trumpet,23
G4,G,Trumpet,24
F#4,F#,Trumpet,25
F#4,F#,Trumpet,26
E4,E,Trumpet,27
E4,E,Trumpet,28
D4,D,Trumpet,29
G4,G,Trumpet,30
G4,G,Trumpet,31
B4,B,Trumpet,32
B4,B,Trumpet,33
C5,C,Trumpet,34
A4,A,Trumpet,35
B4,B,Trumpet,36
B4,B,Trumpet,37
E5,E,Trumpet,38
D5,D,Trumpet,39
C5,C,Trumpet,40
B4,B,Trumpet,41
B4,B,Trumpet,42
D5,D,Trumpet,43
C5,C,Trumpet,44
C5,C,Trumpet,45
D5,D,Trumpet,46
C5,C,Trumpet,47
B4,B,Trumpet,48
D5,D,Trumpet,49
E5,E,Trumpet,50
D5,D,Trumpet,51
C5,C,Trumpet,52
E5,E,Trumpet,53
E5,E,Trumpet,54
D5,D,Trumpet,55
B4,B,Trumpet,56
A4,A,Trumpet,57
D5,D,Trumpet,58
G4,G,Trumpet,59
D4,D,Horn,0
B3,B,Horn,1
D4,D,Horn,2
G4,G,Horn,3
E4,E,Horn,4
G4,G,Horn,5
E-4,E-,Horn,6
G4,G,Horn,7
G4,G,Horn,8
D4,D,Horn,9
G4,G,Horn,10
D4,D,Horn,11
F#4,F#,Horn,12
D4,D,Horn,13
F#4,F#,Horn,14
D4,D,Horn,15
G4,G,Horn,16
D4,D,Horn,17
G4,G,Horn,18
E4,E,Horn,19
A3,A,Horn,20
D4,D,Horn,21
C#4,C#,Horn,22
A3,A,Horn,23
A3,A,Horn,24
G3,G,Horn,25
G4,G,Horn,26
F4,F,Horn,27
E4,E,Horn,28
G4,G,Horn,29
E-4,E-,Horn,30
G4,G,Horn,31
G4,G,Horn,32
D4,D,Horn,33
G#4,G#,Horn,34
E4,E,Horn,35
A4,A,Horn,36
E4,E,Horn,37
G#4,G#,Horn,38
E4,E,Horn,39
A4,A,Horn,40
E4,E,Horn,41
A4,A,Horn,42
D4,D,Horn,43
G4,G,Horn,44
B4,B,Horn,45
E4,E,Horn,46
B4,B,Horn,47
E4,E,Horn,48
A4,A,Horn,49
G4,G,Horn,50
G4,G,Horn,51
D4,D,Horn,52
F#4,F#,Horn,53
D4,D,Horn,54
G2,G,Bass Trombone,0
G3,G,Bass Trombone,1
C3,C,Bass Trombone,2
B2,B,Bass Trombone,3
A2,A,Bass Trombone,4
G2,G,Bass Trombone,5
B2,B,Bass Trombone,6
C#3,C#,Bass Trombone,7
D3,D,Bass Trombone,8
D3,D,Bass Trombone,9
C#3,C#,Bass Trombone,10
B2,B,Bass Trombone,11
A2,A,Bass Trombone,12
G2,G,Bass Trombone,13
F#2,F#,Bass Trombone,14
D3,D,Bass Trombone,15
G2,G,Bass Trombone,16
A2,A,Bass Trombone,17
A2,A,Bass Trombone,18
G2,G,Bass Trombone,19
D3,D,Bass Trombone,20
G2,G,Bass Trombone,21
G3,G,Bass Trombone,22
G2,G,Bass Trombone,23
C4,C,Bass Trombone,24
B3,B,Bass Trombone,25
A3,A,Bass Trombone,26
E3,E,Bass Trombone,27
E3,E,Bass Trombone,28
G#3,G#,Bass Trombone,29
A3,A,Bass Trombone,30
G3,G,Bass Trombone,31
F#3,F#,Bass Trombone,32
G3,G,Bass Trombone,33
G#3,G#,Bass Trombone,34
A3,A,Bass Trombone,35
C#3,C#,Bass Trombone,36
D3,D,Bass Trombone,37
D3,D,Bass Trombone,38
D3,D,Bass Trombone,39
G2,G,Bass Trombone,40
G1,G,Tuba,0
G2,G,Tuba,1
C2,C,Tuba,2
B1,B,Tuba,3
A1,A,Tuba,4
