NoteOctave,Note,Instrument,Position
C2,C,Acoustic Bass,0
C3,C,Acoustic Bass,1
C2,C,Acoustic Bass,2
E2,E,Acoustic Bass,3
G2,G,Acoustic Bass,4
E2,E,Acoustic Bass,5
C2,C,Acoustic Bass,6
F2,F,Acoustic Bass,7
E2,E,Acoustic Bass,8
F2,F,Acoustic Bass,9
C2,C,Acoustic Bass,10
F2,F,Acoustic Bass,11
F2,F,Acoustic Bass,12
B-2,B-,Acoustic Bass,13
A2,A,Acoustic Bass,14
B-2,B-,Acoustic Bass,15
F2,F,Acoustic Bass,16
B-2,B-,Acoustic Bass,17
B-2,B-,Acoustic Bass,18
C3,C,Acoustic Bass,19
C2,C,Acoustic Bass,20
C3,C,Acoustic Bass,21
C3,C,Acoustic Bass,22
F3,F,Acoustic Bass,23
E3,E,Acoustic Bass,24
E-3,E-,Acoustic Bass,25
C#3,C#,Acoustic Bass,26
C3,C,Acoustic Bass,27
B-2,B-,Acoustic Bass,28
G#2,G#,Acoustic Bass,29
C#3,C#,Acoustic Bass,30
E-2,E-,Acoustic Bass,31
E-3,E-,Acoustic Bass,32
E-2,E-,Acoustic Bass,33
G#2,G#,Acoustic Bass,34
G#2,G#,Acoustic Bass,35
C3,C,Acoustic Bass,36
C2,C,Acoustic Bass,37
F2,F,Acoustic Bass,38
F3,F,Acoustic Bass,39
F2,F,Acoustic Bass,40
F3,F,Acoustic Bass,41
B-2,B-,Acoustic Bass,42
C3,C,Acoustic Bass,43
C#3,C#,Acoustic Bass,44
C3,C,Acoustic Bass,45
C3,C,Acoustic Bass,46
F3,F,Acoustic Bass,47
C3,C,Acoustic Bass,48
F2,F,Acoustic Bass,49
F2,F,Acoustic Bass,50
E2,E,Acoustic Bass,51
F2,F,Acoustic Bass,52
C2,C,Acoustic Bass,53
F2,F,Acoustic Bass,54
F2,F,Acoustic Bass,55
B-2,B-,Acoustic Bass,56
A2,A,Acoustic Bass,57
B-2,B-,Acoustic Bass,58
F2,F,Acoustic Bass,59
B-2,B-,Acoustic Bass,60
B-2,B-,Acoustic Bass,61
C3,C,Acoustic Bass,62
C2,C,Acoustic Bass,63
C3,C,Acoustic Bass,64
C3,C,Acoustic Bass,65
F3,F,Acoustic Bass,66
E3,E,Acoustic Bass,67
E-3,E-,Acoustic Bass,68
C#3,C#,Acoustic Bass,69
C3,C,Acoustic Bass,70
B-2,B-,Acoustic Bass,71
G#2,G#,Acoustic Bass,72
C#3,C#,Acoustic Bass,73
E-2,E-,Acoustic Bass,74
E-3,E-,Acoustic Bass,75
E-2,E-,Acoustic Bass,76
G#2,G#,Acoustic Bass,77
G#2,G#,Acoustic Bass,78
C3,C,Acoustic Bass,79
C2,C,Acoustic Bass,80
F2,F,Acoustic Bass,81
F3,F,Acoustic Bass,82
F2,F,Acoustic Bass,83
F3,F,Acoustic Bass,84
B-2,B-,Acoustic Bass,85
C3,C,Acoustic Bass,86
C#3,C#,Acoustic Bass,87
C3,C,Acoustic Bass,88
C3,C,Acoustic Bass,89
F3,F,Acoustic Bass,90
C3,C,Acoustic Bass,91
F2,F,Acoustic Bass,92
C4,C,Bassoon,0
F4,F,Bassoon,1
G4,G,Bassoon,2
G#4,G#,Bassoon,3
E4,E,Bassoon,4
G4,G,Bassoon,5
F4,F,Bassoon,6
F4,F,Bassoon,7
B-4,B-,Bassoon,8
C5,C,Bassoon,9
C#5,C#,Bassoon,10
C5,C,Bassoon,11
A4,A,Bassoon,12
C5,C,Bassoon,13
B-4,B-,Bassoon,14
C5,C,Bassoon,15
