NoteOctave,Note,Instrument,Position
C5,C,English Horn,0
F5,F,English Horn,1
E5,E,English Horn,2
F5,F,English Horn,3
C5,C,English Horn,4
F5,F,English Horn,5
G5,G,English Horn,6
A5,A,English Horn,7
A5,A,English Horn,8
G5,G,English Horn,9
F5,F,English Horn,10
E5,E,English Horn,11
F5,F,English Horn,12
G5,G,English Horn,13
G5,G,English Horn,14
G5,G,English Horn,15
G5,G,English Horn,16
G5,G,English Horn,17
G5,G,English Horn,18
C5,C,English Horn,19
G5,G,English Horn,20
F#5,F#,English Horn,21
G5,G,English Horn,22
A5,A,English Horn,23
B-5,B-,English Horn,24
G5,G,English Horn,25
A5,A,English Horn,26
G5,G,English Horn,27
A5,A,English Horn,28
B-5,B-,English Horn,29
C6,C,English Horn,30
F5,F,English Horn,31
G5,G,English Horn,32
B-5,B-,English Horn,33
A5,A,English Horn,34
G5,G,English Horn,35
D5,D,English Horn,36
E5,E,English Horn,37
F5,F,English Horn,38
F5,F,English Horn,39
F5,F,English Horn,40
F5,F,English Horn,41
F5,F,English Horn,42
F5,F,English Horn,43
E5,E,English Horn,44
D5,D,English Horn,45
D5,D,English Horn,46
C5,C,English Horn,47
B-4,B-,English Horn,48
B-4,B-,English Horn,49
A4,A,English Horn,50
G4,G,English Horn,51
E5,E,English Horn,52
E5,E,English Horn,53
D5,D,English Horn,54
C5,C,English Horn,55
C5,C,English Horn,56
B-4,B-,English Horn,57
A4,A,English Horn,58
A4,A,English Horn,59
G4,G,English Horn,60
F4,F,English Horn,61
F5,F,English Horn,62
G5,G,English Horn,63
A5,A,English Horn,64
B-5,B-,English Horn,65
G5,G,English Horn,66
A5,A,English Horn,67
B-5,B-,English Horn,68
C6,C,English Horn,69
D6,D,English Horn,70
E5,E,English Horn,71
C5,C,English Horn,72
D5,D,English Horn,73
F5,F,English Horn,74
E5,E,English Horn,75
C5,C,English Horn,76
D5,D,English Horn,77
E5,E,English Horn,78
F5,F,English Horn,79
C5,C,English Horn,80
F5,F,English Horn,81
E5,E,English Horn,82
F5,F,English Horn,83
C5,C,English Horn,84
F5,F,English Horn,85
G5,G,English Horn,86
A5,A,English Horn,87
A5,A,English Horn,88
G5,G,English Horn,89
F5,F,English Horn,90
E5,E,English Horn,91
F5,F,English Horn,92
G5,G,English Horn,93
G5,G,English Horn,94
G5,G,English Horn,95
G5,G,English Horn,96
G5,G,English Horn,97
G5,G,English Horn,98
C5,C,English Horn,99
G5,G,English Horn,100
F#5,F#,English Horn,101
G5,G,English Horn,102
A5,A,English Horn,103
B-5,B-,English Horn,104
G5,G,English Horn,105
A5,A,English Horn,106
G5,G,English Horn,107
A5,A,English Horn,108
B-5,B-,English Horn,109
C6,C,English Horn,110
F5,F,English Horn,111
G5,G,English Horn,112
B-5,B-,English Horn,113
A5,A,English Horn,114
G5,G,English Horn,115
D5,D,English Horn,116
E5,E,English Horn,117
F5,F,English Horn,118
F5,F,English Horn,119
F5,F,English Horn,120
F5,F,English Horn,121
