NoteOctave,Note,Instrument,Position
G4,G,Trumpet,0
G4,G,Trumpet,1
A4,A,Trumpet,2
F#4,F#,Trumpet,3
G4,G,Trumpet,4
A4,A,Trumpet,5
B4,B,Trumpet,6
B4,B,Trumpet,7
C5,C,Trumpet,8
B4,B,Trumpet,9
A4,A,Trumpet,10
G4,G,Trumpet,11
A4,A,Trumpet,12
G4,G,Trumpet,13
F#4,F#,Trumpet,14
G4,G,Trumpet,15
D5,D,Trumpet,16
D5,D,Trumpet,17
D5,D,Trumpet,18
D5,D,Trumpet,19
C5,C,Trumpet,20
B4,B,Trumpet,21
C5,C,Trumpet,22
C5,C,Trumpet,23
C5,C,Trumpet,24
C5,C,Trumpet,25
B4,B,Trumpet,26
A4,A,Trumpet,27
B4,B,Trumpet,28
C5,C,Trumpet,29
B4,B,Trumpet,30
A4,A,Trumpet,31
G4,G,Trumpet,32
B4,B,Trumpet,33
C5,C,Trumpet,34
D5,D,Trumpet,35
E5,E,Trumpet,36
C5,C,Trumpet,37
B4,B,Trumpet,38
A4,A,Trumpet,39
G4,G,Trumpet,40
G2,G,Tuba,0
B1,B,Tuba,1
C2,C,Tuba,2
D2,D,Tuba,3
E2,E,Tuba,4
F#2,F#,Tuba,5
G2,G,Tuba,6
E2,E,Tuba,7
C2,C,Tuba,8
D2,D,Tuba,9
E-2,E-,Tuba,10
E2,E,Tuba,11
C2,C,Tuba,12
D2,D,Tuba,13
D2,D,Tuba,14
G2,G,Tuba,15
G1,G,Tuba,16
B1,B,Tuba,17
D2,D,Tuba,18
G2,G,Tuba,19
D2,D,Tuba,20
G2,G,Tuba,21
D2,D,Tuba,22
F#2,F#,Tuba,23
A2,A,Tuba,24
D2,D,Tuba,25
G2,G,Tuba,26
D2,D,Tuba,27
G2,G,Tuba,28
A2,A,Tuba,29
G2,G,Tuba,30
F#2,F#,Tuba,31
E2,E,Tuba,32
D2,D,Tuba,33
C2,C,Tuba,34
B1,B,Tuba,35
A1,A,Tuba,36
G1,G,Tuba,37
C2,C,Tuba,38
D2,D,Tuba,39
D2,D,Tuba,40
G1,G,Tuba,41
B2,B,Horn,0
B2,B,Horn,1
C3,C,Horn,2
A2,A,Horn,3
G2,G,Horn,4
A2,A,Horn,5
D3,D,Horn,6
E3,E,Horn,7
E3,E,Horn,8
D3,D,Horn,9
C3,C,Horn,10
B2,B,Horn,11
C3,C,Horn,12
B2,B,Horn,13
A2,A,Horn,14
B2,B,Horn,15
D3,D,Horn,16
D3,D,Horn,17
D3,D,Horn,18
D3,D,Horn,19
D3,D,Horn,20
D3,D,Horn,21
D3,D,Horn,22
D3,D,Horn,23
D3,D,Horn,24
D3,D,Horn,25
D3,D,Horn,26
D3,D,Horn,27
D3,D,Horn,28
C3,C,Horn,29
B2,B,Horn,30
A2,A,Horn,31
G2,G,Horn,32
D3,D,Horn,33
D3,D,Horn,34
D3,D,Horn,35
E3,E,Horn,36
D3,D,Horn,37
D3,D,Horn,38
C3,C,Horn,39
B2,B,Horn,40
D3,D,Horn,0
D3,D,Horn,1
E3,E,Horn,2
D3,D,Horn,3
C#3,C#,Horn,4
D3,D,Horn,5
G3,G,Horn,6
G3,G,Horn,7
A3,A,Horn,8
G3,G,Horn,9
F#3,F#,Horn,10
E3,E,Horn,11
E3,E,Horn,12
D3,D,Horn,13
D3,D,Horn,14
D3,D,Horn,15
G3,G,Horn,16
G3,G,Horn,17
G3,G,Horn,18
G3,G,Horn,19
F#3,F#,Horn,20
G3,G,Horn,21
F#3,F#,Horn,22
F#3,F#,Horn,23
F#3,F#,Horn,24
F#3,F#,Horn,25
G3,G,Horn,26
F#3,F#,Horn,27
G3,G,Horn,28
F#3,F#,Horn,29
G3,G,Horn,30
D3,D,Horn,31
C#3,C#,Horn,32
G3,G,Horn,33
F#3,F#,Horn,34
F3,F,Horn,35
E3,E,Horn,36
G3,G,Horn,37
F#3,F#,Horn,38
D3,D,Horn,39
B3,B,Trumpet,0
B3,B,Trumpet,1
B3,B,Trumpet,2
B3,B,Trumpet,3
A3,A,Trumpet,4
G3,G,Trumpet,5
A3,A,Trumpet,6
A3,A,Trumpet,7
A3,A,Trumpet,8
A3,A,Trumpet,9
