NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
D4,D,Trumpet,1
B-3,B-,Trumpet,2
D4,D,Trumpet,3
F4,F,Trumpet,4
B-4,B-,Trumpet,5
D5,D,Trumpet,6
C5,C,Trumpet,7
B-4,B-,Trumpet,8
D4,D,Trumpet,9
E4,E,Trumpet,10
F4,F,Trumpet,11
F4,F,Trumpet,12
F4,F,Trumpet,13
D5,D,Trumpet,14
C5,C,Trumpet,15
B-4,B-,Trumpet,16
A4,A,Trumpet,17
G4,G,Trumpet,18
A4,A,Trumpet,19
B-4,B-,Trumpet,20
B-4,B-,Trumpet,21
F4,F,Trumpet,22
D4,D,Trumpet,23
B-3,B-,Trumpet,24
F4,F,Trumpet,25
D4,D,Trumpet,26
B-3,B-,Trumpet,27
D4,D,Trumpet,28
F4,F,Trumpet,29
B-4,B-,Trumpet,30
D5,D,Trumpet,31
C5,C,Trumpet,32
B-4,B-,Trumpet,33
D4,D,Trumpet,34
E4,E,Trumpet,35
F4,F,Trumpet,36
F4,F,Trumpet,37
F4,F,Trumpet,38
D5,D,Trumpet,39
C5,C,Trumpet,40
B-4,B-,Trumpet,41
A4,A,Trumpet,42
G4,G,Trumpet,43
A4,A,Trumpet,44
B-4,B-,Trumpet,45
B-4,B-,Trumpet,46
F4,F,Trumpet,47
D4,D,Trumpet,48
B-3,B-,Trumpet,49
D5,D,Trumpet,50
D5,D,Trumpet,51
D5,D,Trumpet,52
E-5,E-,Trumpet,53
F5,F,Trumpet,54
F5,F,Trumpet,55
E-5,E-,Trumpet,56
D5,D,Trumpet,57
C5,C,Trumpet,58
D5,D,Trumpet,59
E-5,E-,Trumpet,60
E-5,E-,Trumpet,61
E-5,E-,Trumpet,62
D5,D,Trumpet,63
C5,C,Trumpet,64
B-4,B-,Trumpet,65
A4,A,Trumpet,66
G4,G,Trumpet,67
A4,A,Trumpet,68
B-4,B-,Trumpet,69
D4,D,Trumpet,70
E4,E,Trumpet,71
F4,F,Trumpet,72
F4,F,Trumpet,73
B-4,B-,Trumpet,74
B-4,B-,Trumpet,75
B-4,B-,Trumpet,76
A4,A,Trumpet,77
G4,G,Trumpet,78
G4,G,Trumpet,79
G4,G,Trumpet,80
