NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
G4,G,Trumpet,1
F4,F,Trumpet,2
B-4,B-,Trumpet,3
B-4,B-,Trumpet,4
C5,C,Trumpet,5
B-4,B-,Trumpet,6
D5,D,Trumpet,7
D5,D,Trumpet,8
C5,C,Trumpet,9
B-4,B-,Trumpet,10
G4,G,Trumpet,11
B-4,B-,Trumpet,12
B-4,B-,Trumpet,13
G4,G,Trumpet,14
F4,F,Trumpet,15
D4,D,Trumpet,16
F4,F,Trumpet,17
B-4,B-,Trumpet,18
C5,C,Trumpet,19
D5,D,Trumpet,20
D5,D,Trumpet,21
D5,D,Trumpet,22
C5,C,Trumpet,23
B-4,B-,Trumpet,24
F5,F,Trumpet,25
D5,D,Trumpet,26
B-4,B-,Trumpet,27
C5,C,Trumpet,28
C5,C,Trumpet,29
D5,D,Trumpet,30
A4,A,Trumpet,31
F4,F,Trumpet,32
B-4,B-,Trumpet,33
D5,D,Trumpet,34
E-5,E-,Trumpet,35
F5,F,Trumpet,36
F5,F,Trumpet,37
G5,G,Trumpet,38
F5,F,Trumpet,39
D5,D,Trumpet,40
D5,D,Trumpet,41
C5,C,Trumpet,42
B-4,B-,Trumpet,43
F4,F,Trumpet,44
A4,A,Trumpet,45
A4,A,Trumpet,46
C5,C,Trumpet,47
B-4,B-,Trumpet,48
D5,D,Trumpet,49
E-5,E-,Trumpet,50
F5,F,Trumpet,51
F5,F,Trumpet,52
G5,G,Trumpet,53
F5,F,Trumpet,54
C5,C,Trumpet,55
D5,D,Trumpet,56
C5,C,Trumpet,57
B-4,B-,Trumpet,58
B-4,B-,Trumpet,59
F4,F,Trumpet,60
F5,F,Trumpet,61
D5,D,Trumpet,62
B-4,B-,Trumpet,63
G5,G,Trumpet,64
F5,F,Trumpet,65
D5,D,Trumpet,66
C5,C,Trumpet,67
F4,F,Trumpet,68
C5,C,Trumpet,69
C5,C,Trumpet,70
D5,D,Trumpet,71
B-4,B-,Trumpet,72
B-3,B-,Bass Trombone,0
B-3,B-,Bass Trombone,1
B-3,B-,Bass Trombone,2
A3,A,Bass Trombone,3
B-3,B-,Bass Trombone,4
G#3,G#,Bass Trombone,5
G3,G,Bass Trombone,6
E-3,E-,Bass Trombone,7
D3,D,Bass Trombone,8
C3,C,Bass Trombone,9
F3,F,Bass Trombone,10
A2,A,Bass Trombone,11
F3,F,Bass Trombone,12
B-3,B-,Bass Trombone,13
G#3,G#,Bass Trombone,14
G3,G,Bass Trombone,15
C4,C,Bass Trombone,16
F3,F,Bass Trombone,17
F3,F,Bass Trombone,18
F3,F,Bass Trombone,19
G3,G,Bass Trombone,20
A3,A,Bass Trombone,21
G#3,G#,Bass Trombone,22
G3,G,Bass Trombone,23
F#3,F#,Bass Trombone,24
F3,F,Bass Trombone,25
F3,F,Bass Trombone,26
E-3,E-,Bass Trombone,27
F3,F,Bass Trombone,28
G3,G,Bass Trombone,29
A3,A,Bass Trombone,30
F3,F,Bass Trombone,31
F3,F,Bass Trombone,32
F3,F,Bass Trombone,33
F3,F,Bass Trombone,34
D4,D,Bass Trombone,35
C4,C,Bass Trombone,36
B-3,B-,Bass Trombone,37
A3,A,Bass Trombone,38
G3,G,Bass Trombone,39
F3,F,Bass Trombone,40
F3,F,Bass Trombone,41
D4,D,Bass Trombone,42
G3,G,Bass Trombone,43
C4,C,Bass Trombone,44
F3,F,Bass Trombone,45
F3,F,Bass Trombone,46
B-2,B-,Bass Trombone,47
B-3,B-,Bass Trombone,48
F3,F,Bass Trombone,49
F3,F,Bass Trombone,50
F3,F,Bass Trombone,51
E-3,E-,Bass Trombone,52
E3,E,Bass Trombone,53
F3,F,Bass Trombone,54
B-3,B-,Bass Trombone,55
F3,F,Bass Trombone,56
C4,C,Bass Trombone,57
C4,C,Bass Trombone,58
F3,F,Bass Trombone,59
F3,F,Bass Trombone,60
F3,F,Bass Trombone,61
F#3,F#,Bass Trombone,62
F3,F,Bass Trombone,63
B-2,B-,Bass Trombone,64
B-2,B-,Tuba,0
B-2,B-,Tuba,1
F3,F,Tuba,2
E-3,E-,Tuba,3
C3,C,Tuba,4
B-2,B-,Tuba,5
G#2,G#,Tuba,6
G2,G,Tuba,7
B-2,B-,Tuba,8
G#2,G#,Tuba,9
B-2,B-,Tuba,10
E-3,E-,Tuba,11
D3,D,Tuba,12
C3,C,Tuba,13
F3,F,Tuba,14
C2,C,Tuba,15
F2,F,Tuba,16
B-2,B-,Tuba,17
G#2,G#,Tuba,18
G2,G,Tuba,19
C3,C,Tuba,20
F2,F,Tuba,21
F2,F,Tuba,22
F2,F,Tuba,23
G2,G,Tuba,24
A2,A,Tuba,25
D3,D,Tuba,26
G2,G,Tuba,27
