NoteOctave,Note,Instrument,Position
G4,G,Trumpet,0
G4,G,Trumpet,1
G4,G,Trumpet,2
A4,A,Trumpet,3
B4,B,Trumpet,4
B4,B,Trumpet,5
A4,A,Trumpet,6
A4,A,Trumpet,7
G4,G,Trumpet,8
B4,B,Trumpet,9
B4,B,Trumpet,10
B4,B,Trumpet,11
B4,B,Trumpet,12
C5,C,Trumpet,13
C5,C,Trumpet,14
B4,B,Trumpet,15
B4,B,Trumpet,16
A4,A,Trumpet,17
G4,G,Trumpet,18
G4,G,Trumpet,19
G4,G,Trumpet,20
A4,A,Trumpet,21
B4,B,Trumpet,22
B4,B,Trumpet,23
A4,A,Trumpet,24
B4,B,Trumpet,25
C5,C,Trumpet,26
B4,B,Trumpet,27
A4,A,Trumpet,28
G4,G,Trumpet,29
E4,E,Trumpet,30
G4,G,Trumpet,31
A4,A,Trumpet,32
G4,G,Trumpet,33
A4,A,Trumpet,34
G4,G,Trumpet,35
F#4,F#,Trumpet,36
G4,G,Trumpet,37
A4,A,Trumpet,38
G4,G,Trumpet,39
G4,G,Trumpet,40
G4,G,Trumpet,41
G4,G,Trumpet,42
A4,A,Trumpet,43
B4,B,Trumpet,44
B4,B,Trumpet,45
A4,A,Trumpet,46
A4,A,Trumpet,47
G4,G,Trumpet,48
B4,B,Trumpet,49
B4,B,Trumpet,50
B4,B,Trumpet,51
B4,B,Trumpet,52
C5,C,Trumpet,53
C5,C,Trumpet,54
B4,B,Trumpet,55
B4,B,Trumpet,56
A4,A,Trumpet,57
G4,G,Trumpet,58
G4,G,Trumpet,59
G4,G,Trumpet,60
A4,A,Trumpet,61
B4,B,Trumpet,62
B4,B,Trumpet,63
A4,A,Trumpet,64
B4,B,Trumpet,65
C5,C,Trumpet,66
B4,B,Trumpet,67
A4,A,Trumpet,68
G4,G,Trumpet,69
E4,E,Trumpet,70
G4,G,Trumpet,71
A4,A,Trumpet,72
G4,G,Trumpet,73
A4,A,Trumpet,74
G4,G,Trumpet,75
F#4,F#,Trumpet,76
G4,G,Trumpet,77
A4,A,Trumpet,78
G4,G,Trumpet,79
G4,G,Trumpet,80
F#4,F#,Trumpet,81
E4,E,Trumpet,82
D4,D,Trumpet,83
G4,G,Trumpet,84
F#4,F#,Trumpet,85
E4,E,Trumpet,86
D4,D,Trumpet,87
D4,D,Trumpet,88
G4,G,Trumpet,89
A4,A,Trumpet,90
B4,B,Trumpet,91
E4,E,Trumpet,92
C5,C,Trumpet,93
B4,B,Trumpet,94
A4,A,Trumpet,95
G4,G,Trumpet,96
F#4,F#,Trumpet,97
G4,G,Trumpet,98
A4,A,Trumpet,99
G4,G,Trumpet,100
A4,A,Trumpet,101
G4,G,Trumpet,102
F#4,F#,Trumpet,103
G4,G,Trumpet,104
A4,A,Trumpet,105
G4,G,Trumpet,106
A4,A,Trumpet,107
G4,G,Trumpet,108
F#4,F#,Trumpet,109
G4,G,Trumpet,110
A4,A,Trumpet,111
G4,G,Trumpet,112
D4,D,Horn,0
D4,D,Horn,1
D4,D,Horn,2
F#4,F#,Horn,3
G4,G,Horn,4
G4,G,Horn,5
G4,G,Horn,6
F#4,F#,Horn,7
G4,G,Horn,8
G4,G,Horn,9
G4,G,Horn,10
G4,G,Horn,11
G4,G,Horn,12
A4,A,Horn,13
A4,A,Horn,14
G4,G,Horn,15
G4,G,Horn,16
F#4,F#,Horn,17
D4,D,Horn,18
D4,D,Horn,19
D4,D,Horn,20
F#4,F#,Horn,21
G4,G,Horn,22
G4,G,Horn,23
E4,E,Horn,24
F#4,F#,Horn,25
G4,G,Horn,26
F#4,F#,Horn,27
E4,E,Horn,28
C4,C,Horn,29
D4,D,Horn,30
E4,E,Horn,31
C4,C,Horn,32
D4,D,Horn,33
F#4,F#,Horn,34
B3,B,Horn,35
E4,E,Horn,36
D4,D,Horn,37
D4,D,Horn,38
F#4,F#,Horn,39
G4,G,Horn,40
D4,D,Horn,41
D4,D,Horn,42
D4,D,Horn,43
F#4,F#,Horn,44
G4,G,Horn,45
G4,G,Horn,46
G4,G,Horn,47
F#4,F#,Horn,48
G4,G,Horn,49
G4,G,Horn,50
G4,G,Horn,51
G4,G,Horn,52
G4,G,Horn,53
