NoteOctave,Note,Instrument,Position
D4,D,Trumpet,0
D4,D,Trumpet,1
G4,G,Trumpet,2
A4,A,Trumpet,3
A4,A,Trumpet,4
B4,B,Trumpet,5
B4,B,Trumpet,6
D5,D,Trumpet,7
C5,C,Trumpet,8
B4,B,Trumpet,9
B4,B,Trumpet,10
G4,G,Trumpet,11
A4,A,Trumpet,12
A4,A,Trumpet,13
G4,G,Trumpet,14
D4,D,Trumpet,15
D4,D,Trumpet,16
G4,G,Trumpet,17
A4,A,Trumpet,18
A4,A,Trumpet,19
D5,D,Trumpet,20
D5,D,Trumpet,21
D5,D,Trumpet,22
E5,E,Trumpet,23
D5,D,Trumpet,24
D5,D,Trumpet,25
C5,C,Trumpet,26
B4,B,Trumpet,27
A4,A,Trumpet,28
G4,G,Trumpet,29
G4,G,Trumpet,30
C5,C,Trumpet,31
C5,C,Trumpet,32
C5,C,Trumpet,33
B4,B,Trumpet,34
C5,C,Trumpet,35
D5,D,Trumpet,36
E5,E,Trumpet,37
D5,D,Trumpet,38
B4,B,Trumpet,39
G4,G,Trumpet,40
D5,D,Trumpet,41
C5,C,Trumpet,42
B4,B,Trumpet,43
A4,A,Trumpet,44
G4,G,Trumpet,45
E4,E,Trumpet,46
G4,G,Trumpet,47
B4,B,Trumpet,48
B4,B,Trumpet,49
A4,A,Trumpet,50
G4,G,Trumpet,51
F#4,F#,Trumpet,52
D4,D,Trumpet,53
G4,G,Trumpet,54
A4,A,Trumpet,55
B4,B,Trumpet,56
C5,C,Trumpet,57
D5,D,Trumpet,58
D5,D,Trumpet,59
D5,D,Trumpet,60
C5,C,Trumpet,61
B4,B,Trumpet,62
B4,B,Trumpet,63
G4,G,Trumpet,64
A4,A,Trumpet,65
A4,A,Trumpet,66
G4,G,Trumpet,67
D2,D,Tuba,0
D2,D,Tuba,1
G1,G,Tuba,2
D2,D,Tuba,3
D2,D,Tuba,4
G1,G,Tuba,5
G1,G,Tuba,6
B1,B,Tuba,7
A1,A,Tuba,8
G1,G,Tuba,9
G1,G,Tuba,10
B1,B,Tuba,11
D2,D,Tuba,12
D2,D,Tuba,13
G1,G,Tuba,14
G2,G,Tuba,15
G2,G,Tuba,16
E2,E,Tuba,17
C#2,C#,Tuba,18
C#2,C#,Tuba,19
D2,D,Tuba,20
D2,D,Tuba,21
F#2,F#,Tuba,22
G2,G,Tuba,23
C2,C,Tuba,24
D2,D,Tuba,25
F#2,F#,Tuba,26
G2,G,Tuba,27
A2,A,Tuba,28
G2,G,Tuba,29
F#2,F#,Tuba,30
E2,E,Tuba,31
D2,D,Tuba,32
C2,C,Tuba,33
C2,C,Tuba,34
C2,C,Tuba,35
D2,D,Tuba,36
E2,E,Tuba,37
F#2,F#,Tuba,38
G2,G,Tuba,39
G2,G,Tuba,40
G2,G,Tuba,41
G2,G,Tuba,42
G1,G,Tuba,43
G1,G,Tuba,44
G1,G,Tuba,45
B1,B,Tuba,46
C2,C,Tuba,47
C2,C,Tuba,48
G1,G,Tuba,49
G1,G,Tuba,50
G1,G,Tuba,51
G1,G,Tuba,52
D2,D,Tuba,53
F#2,F#,Tuba,54
